rank,movie_title,imdbid,rtid
1,Star Wars: Episode III - Revenge of the Sith,0121766,9
2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0363771,24214
3,Harry Potter and the Goblet of Fire,0330373,9272
4,War of the Worlds,,
5,King Kong,,
6,Wedding Crashers,0396269,1967
7,Charlie and the Chocolate Factory,,
8,Batman Begins,0372784,1122
9,Madagascar,0351283,668
10,Mr. &amp; Mrs. Smith,0356910,1121
11,Hitch,,
12,The Longest Yard,0398165,669
13,Fantastic Four,0120667,1790
14,Chicken Little,0371606,9043
15,Robots,,
16,Walk the Line,0358273,9273
17,The Pacifier,0395699,27
18,Fun with Dick and Jane,0369441,24466
19,The 40-Year-Old Virgin,,
20,Flightplan,0408790,7976
21,Saw II,0432348,8918
22,Brokeback Mountain,0388795,24215
23,Monster-in-Law,0369735,10
24,Are We There Yet?,,
25,Cheaper by the Dozen 2,0452598,24465
26,The Dukes of Hazzard,0377818,1971
27,March of the Penguins,0428803,2130
28,The Ring Two,0377109,10117
29,Constantine,0360486,12977
30,The Exorcism of Emily Rose,,6930
31,Four Brothers,,3616
32,Sin City,0401792,29
33,The Interpreter,0373926,16
34,Guess Who,0372237,10083
35,Sahara,0318649,20
36,Coach Carter,0393162,10295
37,Herbie: Fully Loaded,0400497,1784
38,The Amityville Horror (2005),0384806,21
39,Sky High,0405325,2127
40,Bewitched,0374536,1783
41,Jarhead,0418763,9044
42,Cinderella Man,,
43,The Family Stone,0356680,24223
44,Red Eye,0421239,5078
45,Memoirs of a Geisha,0397535,24218
46,White Noise,0375210,11285
47,Wallace and Gromit: The Curse of the Were-Rabbit,,
48,Be Cool,0377471,10929
49,Crash,,
50,"Yours, Mine and Ours",,
51,Tim Burton's Corpse Bride,0121164,7591
52,Kicking and Screaming,,
53,Hoodwinked,,
54,Hide and Seek,,
55,The Hitchhiker's Guide to the Galaxy,,17
56,Syriana,0365737,9369
57,Tyler Perry's Diary of a Mad Black Woman,,
58,Racing Stripes,0376105,10274
59,Miss Congeniality 2: Armed and Fabulous,0385307,10300
60,Just Like Heaven,0425123,7582
61,The Skeleton Key,0397101,3618
62,Munich,,
63,Kingdom of Heaven,0320661,14
64,Boogeyman,0357507,10549
65,The Legend of Zorro,0386140,8916
66,Must Love Dogs,0417001,2118
67,Transporter 2,,6362
68,Rumor Has It,0398375,24473
69,Fever Pitch,0332047,23
70,The Adventures of Sharkboy and Lavagirl in 3D,0424774,1786
71,The Sisterhood of the Traveling Pants,0403508,672
72,Pride and Prejudice,0414387,9185
73,The Brothers Grimm,,
74,Beauty Shop,0388500,17968
75,Derailed,0398017,9177
76,The Island,0399201,1969
77,The Ringer,,
