rank,movie_title,imdbid,rtid
78,Hostage,0340163,15283
79,Magnificent Desolation (IMAX),0401623,326394088
80,The Constant Gardener,0387131,5625
81,In Her Shoes,0388125,8567
82,Bad News Bears,,1970
83,Dreamer: Inspired by a True Story,0418647,8840
84,Because of Winn-Dixie,0317132,10023
85,Just Friends,0433400,9363
86,Stealth,0382992,2131
87,House of Wax,0397065,15
88,The Wedding Date,0372532,10051
89,"Good Night, and Good Luck.",0433383,8572
90,A History of Violence,0399146,8573
91,Get Rich or Die Tryin',0430308,9175
92,The Fog (2005),,
93,Zathura,0406375,9178
94,Rent,0294870,9364
95,Capote,,
96,Doom,,
97,XXX: State of the Union,0329774,19
98,Elizabethtown,0368709,8761
99,Aeon Flux,0402022,23089
100,Serenity,,
101,Dark Water,,
102,Unleashed,0342258,13
103,Elektra,0357277,10164
104,Ice Princess,0396652,9424
105,Lord of War,0399295,7583
106,Match Point,0416320,24478
107,Two for the Money,0417217,8568
108,Prime,0387514,8917
109,Deuce Bigalow: European Gigolo,0367652,3615
110,Hustle and Flow,,
111,A Lot Like Love,0391304,26
112,George A. Romero's Land of the Dead,,
113,Assault on Precinct 13,0398712,13244
114,Man of the House,0331933,136262883
115,Valiant,0361089,5080
116,The Producers,0395251,24224
117,Cursed,,120416725
118,Into the Blue,0378109,8264
119,The Upside of Anger,,
120,North Country,0395972,8841
121,Pooh's Heffalump Movie,,
122,Roll Bounce,,7977
123,Kung Fu Hustle,0373074,12861
124,The Devil's Rejects,0395584,2133
125,Son of the Mask,0362165,11404
126,Rebound,0376108,1815
128,The Perfect Man,0380623,1787
129,Wolf Creek,,
130,Waiting...,0348333,8569
131,The Gospel,0451069,8566
132,The Greatest Game Ever Played,0388980,8263
133,The Cave,,
134,Broken Flowers,0412019,2771
135,The Honeymooners,0373908,10800
136,The New World,,
137,The Matador,0365485,24471
138,The Weather Man,0384680,8919
139,Casanova,,
140,Lords of Dogtown,0355702,671
141,Mrs. Henderson Presents,0413015,24219
142,The Polar Express (IMAX re-issue 2005),,
143,Shopgirl,0338427,8849
144,In the Mix,0426615,9362
145,Domino,0097224,8760
146,The Great Raid,0326905,3617
147,Cry Wolf,0384286,7581
148,The Ice Harvest,,9361
149,Transamerica,0407265,50374652
150,Aliens of the Deep (IMAX),0417415,9419
151,An Unfinished Life,0350261,6936
152,The Man,0399327,6931
153,Mad Hot Ballroom,0438205,10013
154,Proof,,
155,The Squid and the Whale,,
156,Ladies in Lavender,0377084,25
157,Bride and Prejudice,,
158,Millions,,770987433
159,The Aristocrats,,5222
160,The Jacket,0366627,13085
161,Underclassman,,
162,Downfall,,
163,Alone in the Dark,0369226,14064
165,The Three Burials of Melquiades Estrada,,
166,The Libertine,,
167,Howl's Moving Castle,0347149,75428742
168,Ong Bak: The Thai Warrior,,
169,Mindhunters,0297284,18
170,"Kiss Kiss, Bang Bang",0373469,8846
171,Enron: The Smartest Guys in the Room,,
172,King's Ransom,0388183,771315960
173,Me and You and Everyone We Know,,
174,Melinda and Melinda,,
175,High Tension,0338095,15470
176,Cache (Hidden),0387898,24470
177,Stay,0371257,8842
178,Rize,,
179,Grizzly Man,0427312,3620
180,Supercross,0403016,5079
181,The Wild Parrots of Telegraph Hill,,
182,G,0330373,9272
183,Walk on Water,0352994,17023
184,Junebug,0418773,2769
185,Layer Cake,,
187,Oliver Twist,,
188,The Work and the Glory II: American Zion,0457530,8850
189,A Sound of Thunder,0318081,6361
190,Look at Me,,
191,Mrs. Palfrey at the Claremont,0421229,321835370
192,Everything Is Illuminated,0404030,7586
193,State Property 2,0403537,14283
194,The White Countess,0384686,24467
195,The Chorus,0372824,10152
196,Murderball,0436613,24232
197,Paradise Now,0445620,8921
198,2046,,
199,Salaam Namaste,0456165,534310020
200,Paheli,0451850,9720
