rank,movie_title,imdbid,rtid
1,Marvel's The Avengers,0848228,770740154
2,The Dark Knight Rises,1345836,771041731
3,The Hunger Games,1392170,771190618
4,Skyfall,1074638,770680844
5,The Hobbit: An Unexpected Journey,0903624,770675766
6,The Twilight Saga: Breaking Dawn Part 2,1673434,771202607
7,The Amazing Spider-Man,0948470,770771659
8,Brave,1217209,770805429
9,Ted,1637725,771236465
10,Madagascar 3: Europe's Most Wanted,1277953,771206971
11,Dr. Seuss' The Lorax,1482459,771193269
12,Wreck-It Ralph,1772341,771221512
13,Lincoln,,
14,MIB 3,,
15,Django Unchained,1853728,771245718
16,Ice Age: Continental Drift,1667889,771041816
17,Snow White and the Huntsman,,
18,Les Miserables (2012),,
19,Hotel Transylvania,0837562,770805428
20,Taken 2,1397280,771257666
21,21 Jump Street,1232829,770863876
22,Argo,,
23,Silver Linings Playbook,1045658,771253886
24,Prometheus,,
25,Safe House,1599348,771218288
26,The Vow,1606389,771218289
27,Life of Pi,0454876,770673482
28,Magic Mike,1915581,771242005
29,The Bourne Legacy,1194173,771218290
30,Journey 2: The Mysterious Island,1397514,771042281
31,Rise of the Guardians,1830790,771229644
32,Zero Dark Thirty,1790885,771249562
33,Flight,1907668,771307095
34,Think Like a Man,1621045,771241235
35,The Campaign,,
36,The Expendables 2,1764651,771238417
37,Wrath of the Titans,1646987,771208374
38,Jack Reacher,0790724,771249559
39,Dark Shadows,1077368,770783545
40,Parental Guidance,1047540,771257655
41,John Carter,0401729,770801433
42,Act of Valor,1591479,771245096
43,This Is 40,1758830,771225336
44,Contraband,1524137,771224339
45,Looper,1276104,771186945
46,Tyler Perry's Madea's Witness Protection,,
47,Battleship,1440129,770858174
48,Pitch Perfect,1981677,771308226
49,Mirror Mirror,1667353,771229793
50,Chronicle (2012),1706593,771239389
51,Hope Springs,1535438,771253858
52,Underworld Awakening,,
53,The Lucky One,1327194,771252920
54,The Dictator,,
55,Total Recall (2012),,
56,Titanic 3D,,
57,American Reunion,,
58,ParaNorman,1623288,771242305
59,This Means War,1596350,771206861
60,Project X,,
61,The Woman in Black,1596365,771221353
62,Paranormal Activity 4,,
63,The Devil Inside,1560985,771240536
64,The Odd Life of Timothy Green,1462769,771250062
65,Ghost Rider: Spirit of Vengeance,1071875,771201075
66,The Grey,,
67,Red Tails,0485985,770808781
68,The Possession,0431021,771219076
69,Diary of a Wimpy Kid: Dog Days,2023453,771251499
70,Sinister,1922777,771259549
71,Beauty and the Beast (3D),,
72,Savages (2012),,
73,The Best Exotic Marigold Hotel,1412386,771252912
74,Moonrise Kingdom,1748122,771242131
75,Here Comes the Boom,1648179,771234470
76,Red Dawn (2012),1234719,770820295
77,The Three Stooges,0383010,770799721
78,Star Wars: Episode I - The Phantom Menace (in 3D),,
79,Resident Evil: Retribution,1855325,771235030
80,The Cabin in the Woods,1259521,770785486
81,What to Expect When You're Expecting,1586265,771242835
82,Finding Nemo (3D),,
83,End of Watch,1855199,771271133
84,Rock of Ages,,
85,Abraham Lincoln: Vampire Hunter,1611224,771210951
86,Lawless,1212450,771257449
87,The Guilt Trip,,771254143
88,That's My Boy,1232200,771013150
89,Trouble with the Curve,2083383,771268582
90,The Watch,1298649,771249885
91,Frankenweenie,1142977,771205894
92,Step Up Revolution,1800741,771253882
93,Tyler Perry's Good Deeds,1885265,771243948
94,"Monsters, Inc. (3D)",0198781,9382
95,2016 Obama's America,2247692,771307711
96,House at the End of The Street,1582507,771240777
97,The Pirates! Band of Misfits,0986253,770863878
98,Joyful Noise,1710396,771209622
99,Chimpanzee,0364242,770740017
100,The Five-Year Engagement,1195478,771243242
101,Cloud Atlas,1371111,771310572
102,One For the Money,1598828,771205887
103,Alex Cross,1694020,771229596
104,Katy Perry: Part of Me,,
105,Sparkle (2012),1876451,771264531
106,Premium Rush,1547234,771205854
107,Big Miracle,1430615,771208070
108,The Secret World of Arrietty,1568921,771221507
109,The Impossible,1649419,771312396
110,Haywire,1506999,771202905
111,Man on a Ledge,1568338,771241229
112,A Thousand Words,0763831,770810465
113,Chernobyl Diaries,2244781,771269700
114,The Perks of Being a Wallflower,1659337,771230011
115,Silent Hill: Revelation 3D,0938330,771305539
116,Wanderlust,,
117,Safe (2012),,
118,To Rome with Love,1859650,771240265
119,The Master,1560747,771206753
120,The Raven,1486192,771228995
121,The Man with the Iron Fists,1258972,771225600
122,Killing Them Softly,1764234,771225277
123,Seven Psychopaths,1931533,771271681
124,Lockout,,
125,Hit and Run,2097307,771265551
126,To the Arctic (IMAX),2073128,771267753
127,Dredd,1343727,771207918
128,Playing for Keeps,1540128,771244799
