rank,movie_title,imdbid,rtid
1,Pirates of the Caribbean: Dead Man's Chest,0383574,190815398
2,Night at the Museum,0477347,381083824
3,Cars,,
4,X-Men: The Last Stand,0376994,155655020
5,The Da Vinci Code,,
6,Superman Returns,,
7,Happy Feet,0366548,345732304
8,Ice Age: The Meltdown,0438097,133759644
9,Casino Royale,0381061,358179513
10,The Pursuit of Happyness,0454921,348520342
11,Over the Hedge,0327084,155654993
12,Talladega Nights: The Ballad of Ricky Bobby,,
13,Click,,
14,Mission: Impossible III,0317919,155654854
15,The Departed,0407887,314387087
16,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,0443453,337720947
17,The Devil Wears Prada,0458352,155655228
18,The Break-Up,0452594,155655036
19,Dreamgirls,0443489,358047697
20,Scary Movie 4,0362120,147302859
21,Failure to Launch,0427229,93101269
22,Inside Man,,
23,Open Season,,
24,The Santa Clause 3: The Escape Clause,0452681,353654309
25,Charlotte's Web (2006),0413895,376862102
26,The Pink Panther (2006),0383216,19049948
27,Eight Below,0397313,19049976
28,Saw III,0489270,314387954
29,Nacho Libre,,
30,"You, Me and Dupree",0463034,190815618
31,Eragon,,364513273
32,Monster House,0385880,190815981
33,Jackass: Number Two,0493430,287865350
34,Barnyard: The Original Party Animals,,
35,RV,0449089,152552346
36,V for Vendetta,0434409,112770454
37,World Trade Center,,
38,Rocky Balboa,0479143,358184711
39,Big Momma's House 2,0421729,2864438
40,Step Up,0462590,248007821
41,Flushed Away,0424095,353672939
42,Deja Vu,0453467,387273864
43,Miami Vice,,
44,Tyler Perry's Madea's Family Reunion,,
45,The Holiday,0457939,387285258
46,The Fast and the Furious: Tokyo Drift,0463985,155655113
47,Underworld: Evolution,0401855,2864431
48,The Shaggy Dog,0393735,93101407
49,Poseidon,0409182,155654957
50,The Good Shepherd,,
51,Little Miss Sunshine,0449059,190816246
52,The Benchwarmers,0437863,140952457
53,Little Man,0430304,190815290
54,Curious George,,
55,Invincible,0445990,270600420
56,Blood Diamond,0450259,358182346
57,The Queen,,
58,The Guardian,0406816,287865154
59,The Omen (2006),0466909,155655054
60,Final Destination 3,0414982,19049941
61,The Prestige,0482571,314387818
62,The Lake House,0410297,155655156
63,Apocalypto,0472043,387535876
64,Firewall,0408345,19049944
65,Date Movie,0466342,19049972
66,When a Stranger Calls,0455857,14662876
67,Hostel,0450278,2864417
68,Nanny McPhee,0396752,2864439
69,Silent Hill,0384537,150164942
70,Deep Sea 3D (IMAX),,
71,We Are Marshall,0758794,348369754
72,Glory Road,,2864420
73,Lady in the Water,0452637,190815951
74,The Hills Have Eyes,0454841,93101300
75,John Tucker Must Die,0455967,190816360
76,Stranger Than Fiction,0420223,343950173
77,The Illusionist,0443543,268342306
78,The Texas Chainsaw Massacre: The Beginning,0420294,314095341
79,The Grudge 2,0433386,314387262
80,Gridiron Gang,0421206,287865123
81,Last Holiday,0408985,2864425
82,Pan's Labyrinth,0457430,343934933
83,The Nativity Story,,
84,The Wild,0405469,147302864
85,Man of the Year,,
86,16 Blocks,0450232,49248945
87,Accepted,0384793,248007808
88,The Sentinel,0443632,150164939
89,Children of Men,0206634,326459204
90,Deck the Halls,0790604,377767376
91,Take the Lead,0446046,140952560
92,Babel,,
93,Snakes on a Plane,0417148,264141101
94,She's the Man,,112770423
95,Flags of Our Fathers,0418689,314387613
96,United 93,0475276,152552262
97,Employee of the Month,0424993,338671160
98,Garfield: A Tail of Two Kitties,0455499,155655197
99,The Ant Bully,0429589,205091258
100,Crank,0479884,276994403
101,Stick It,0430634,150164950
102,The Descent,,
103,Thank You for Smoking,,
104,Jet Li's Fearless,,248007514
105,Clerks II,,
106,An Inconvenient Truth,0497116,158719030
107,The Wicker Man,,287864910
108,The Covenant,,
109,Stay Alive,0441796,128388213
110,The Black Dahlia,,
111,My Super Ex-Girlfriend,0465624,190816028
112,Lucky Number Slevin,,140952467
113,Waist Deep,0456020,155655200
114,ATL,0466856,133759538
115,Flicka,0434215,314387702
116,A Prairie Home Companion,0420087,155655082
117,Pulse,0454919,190815565
118,Beerfest,0486551,287864786
119,Akeelah and the Bee,0437800,152552156
120,The Marine,,
121,Aquamarine,0429591,49248963
122,Ultraviolet,0370032,19050014
123,School for Scoundrels,0462519,287865427
124,The Last King of Scotland,0455590,287865404
125,Notes on a Scandal,0465551,398731787
126,Just My Luck,0397078,155654949
127,Annapolis,,
128,Unaccompanied Minors,0488658,387310978
129,An American Haunting,0429573,130556995
130,Black Christmas (2006),,376869947
131,Marie Antoinette,,
132,Larry the Cable Guy: Health Inspector,0462395,147058736
134,See No Evil,,
135,Tristan and Isolde,,
136,Everyone's Hero,0430779,287865108
137,Hollywoodland,0427969,287865038
138,Letters from Iwo Jima,0498380,411002218
139,One Night with the King,0430431,347990577
140,Friends with Money,,140952637
141,Flyboys,0454824,287865411
142,How to Eat Fried Worms,0462346,287864812
143,Volver,0441909,151436540
144,"Bon Cop, Bad Cop",0479647,298522270
145,Idlewild,0417225,287864830
146,Freedomland,0349467,19049981
147,The Protector (2006),0427954,287865052
148,Zoom,,
149,End of the Spear,,
150,Dave Chappelle's Block Party,0425598,49248977
151,The Last Kiss (2006),0434139,266752526
152,Something New,0437777,14662874
153,Material Girls,0433412,277848908
154,Bobby,,
155,Scoop,0457513,248007453
156,Roving Mars (IMAX),0436595,326396133
157,Facing the Giants,0805526,304703728
158,The Fountain,,
159,Tim Burton's The Nightmare Before Christmas in 3-D (2006),,
160,Tenacious D in: The Pick of Destiny,,
161,Hoot,,
162,The Painted Veil,0446755,420081993
163,The Night Listener,0448075,248007524
164,Slither,0439815,133759650
165,The Return,0433442,357425054
166,A Good Year,0401445,376804542
167,Doogal,,
168,All the King's Men,,287865326
169,American Dreamz,,
170,Phat Girlz,0490196,140952474
171,Turistas,0454970,380552699
172,Running with Scissors,,
173,Crossover,,
174,Running Scared,,
175,Curse of the Golden Flower,0473444,420147807
176,Grandma's Boy,0456554,2864413
177,Basic Instinct 2,0430912,133759604
178,For Your Consideration,0470765,384067821
179,A Scanner Darkly,0405296,190815509
180,Little Children,0404203,314387182
181,The Science of Sleep,0354899,263042951
182,Let's Go to Prison,0454987,337765828
183,Keeping Up with the Steins,0415949,155654965
184,National Lampoon's Van Wilder: The Rise of Taj,,
185,Catch a Fire,0437232,314388146
186,Goal! The Dream Begins,,
187,Trailer Park Boys: The Movie,0425601,329470883
188,Venus,0489327,391393079
189,Harsh Times,0433387,277001063
190,Art School Confidential,0364955,152552472
191,Water,0452637,190815951
192,Kabhi Alvida Naa Kehna,0449999,280165704
193,Boynton Beach Club,,
194,Wordplay,,
195,Miss Potter,0482546,426555067
196,The Polar Express (IMAX re-issue 2006),,
197,Tsotsi,,
198,La Mujer de Mi Hermano,,771252761
199,The History Boys,0464049,349219108
200,Half Nelson,0468489,248007862
