rank,movie_title,imdbid,rtid
1,The Lord of the Rings: The Return of the King,,
2,Finding Nemo,0266543,9377
3,Pirates of the Caribbean: The Curse of the Black Pearl,0325980,10020
4,The Matrix Reloaded,0234215,13008
5,Bruce Almighty,0315327,10528
6,X2: X-Men United,0290334,10568
7,Elf,0319343,10029
8,Terminator 3: Rise of the Machines,0181852,13049
9,The Matrix Revolutions,0242653,12920
10,Cheaper by the Dozen,0349205,10314
11,Bad Boys II,0172156,13355
12,Anger Management,0305224,13525
13,Bringing Down the House,0305669,11496
14,Hulk,0286716,10309
15,2 Fast 2 Furious,0322259,10591
16,Something's Gotta Give,0337741,10126
17,Seabiscuit,,
18,S.W.A.T.,,
19,Spy Kids 3D: Game Over,0338459,10461
20,The Last Samurai,0325710,133039558
21,Freaky Friday,0322330,10349
22,Scary Movie 3,0306047,11195
23,The Italian Job,0317740,10189
24,How to Lose a Guy in 10 Days,0251127,10435
25,American Wedding,0328828,17033
26,Daddy Day Care,0317303,10928
27,Daredevil,,
28,The Cat in the Hat,0312528,12422
29,Charlie's Angels: Full Throttle,0305357,17226
30,Cold Mountain,0159365,12931
31,Master and Commander: The Far Side of the World,0311113,10125
32,"Legally Blonde 2: Red, White and Blonde",,
33,Mystic River,0327056,14799
34,Brother Bear,,
35,Freddy Vs. Jason,0329101,13044
36,School of Rock,0332379,10315
37,The Texas Chainsaw Massacre,0324216,13328
38,The Haunted Mansion,0338094,11049
39,Old School,0302886,16825
40,Kill Bill Vol. 1,0266697,12865
41,Holes,0311289,10532
42,Kangaroo Jack,,12071
43,Big Fish,,
44,The League of Extraordinary Gentlemen,0311429,10319
45,Lara Croft Tomb Raider: The Cradle of Life,0325703,10579
46,Mona Lisa Smile,0304415,10479
47,Shanghai Knights,0300471,10923
48,Bad Santa,0307987,16986
49,Love Actually,0314331,12852
50,Gothika,0348836,14382
51,Open Range,0316356,12993
52,Once Upon a Time in Mexico,0285823,13208
53,Just Married,,
54,Paycheck,0338337,11014
55,The Recruit,0292506,10608
56,Radio,0316465,10519
57,Identity,0309698,13140
58,Underworld,0320691,13036
59,Runaway Jury,0313542,10917
60,Peter Pan,0316396,10329
61,Agent Cody Banks,0313911,11505
62,The Jungle Book 2,0283426,9571
63,The Rundown,0327850,10616
64,Final Destination 2,0309593,13166
65,Phone Booth,0183649,13499
66,28 Days Later,0289043,14347
67,Lost in Translation,0335266,12972
68,Tears of the Sun,0314353,13309
69,Under the Tuscan Sun,0328589,10304
70,The Lizzie McGuire Movie,0306841,10777
71,Secondhand Lions,0327137,10035
72,Out of Time,,
73,Rugrats Go Wild,0337711,11516
74,Head of State,0325537,11970
75,Good Boy!,,
76,Uptown Girls,0263757,10731
77,Matchstick Men,0325805,11033
78,National Security,0271668,11699
79,What a Girl Wants,0286788,10968
80,Jeepers Creepers 2,0301470,13400
81,Intolerable Cruelty,0138524,11037
82,Cradle 2 the Grave,0306685,15988
83,Monster,,
84,Malibu's Most Wanted,0328099,11677
85,The Hunted,0269347,13646
86,Stuck on You,,11397
