rank,movie_title,imdbid,rtid
87,Dreamcatcher,0285531,13790
88,Darkness Falls,0282209,11813
89,Bend It Like Beckham,0286499,10320
90,The Core,,
91,Calendar Girls,0337909,10412
92,Hollywood Homicide,0329717,11379
93,Honey,0322589,10829
94,The Fighting Temptations,0191133,11104
95,Johnny English,0274166,11064
96,The Missing,,
97,Basic,,
98,A Man Apart,,
99,Sinbad: Legend of the Seven Seas,0165982,10918
100,Dumb and Dumberer: When Harry Met Lloyd,0329028,11624
101,Bulletproof Monk,0245803,11258
102,Piglet's Big Movie,0323642,9563
103,Dickie Roberts: Former Child Star,0325258,11727
104,The Medallion,0288045,11888
105,Biker Boyz,0326769,11920
106,Love Don't Cost a Thing,0337592,11693
107,Cold Creek Manor,0331468,14962
108,Cabin Fever,,
109,Looney Tunes: Back in Action,0318155,11525
110,Whale Rider,0298228,10105
111,The In-Laws,0314786,12128
112,Down with Love,,11057
113,The Life of David Gale,0289992,13604
114,Timeline,0300556,10365
115,Bugs! (IMAX),,
116,A Mighty Wind,0310281,10423
117,Deliver Us from Eva,0301181,14773
118,Ghosts of the Abyss (IMAX &amp; 35mm),0297144,11053
119,21 Grams,0315733,13178
120,View from the Top,,
121,My Boss's Daughter,0270980,14918
122,A Guy Thing,,
123,In America,0298845,10475
124,Wrong Turn,0295700,13811
125,Alex and Emma,,
126,How to Deal,0319524,11276
127,House of Sand and Fog,0315983,13352
128,Gods and Generals,,
129,"House of 1,000 Corpses",,
130,Confidence,0310910,14362
131,Girl with a Pearl Earring,0335119,10230
132,Winged Migration,0301727,9628
133,House of the Dead,0317676,14277
134,Swimming Pool,0324133,15321
135,Duplex,0266489,11083
136,La Grande Seduction,,
137,Dark Blue,0279331,14831
138,Le Divorce,,
139,Boat Trip,0285462,17171
140,The Cooler,0318374,13608
141,Dirty Pretty Things,0301199,13491
142,Tupac: Resurrection,0343121,14017
143,The Order,0304711,14441
144,City of God,,
145,It Runs in the Family,0311110,12087
146,The Triplets of Belleville,,10128
147,Willard,0310357,11849
148,The Young Black Stallion (IMAX),0318850,9647
149,Nowhere in Africa,,
150,Chasing Papi,0323572,12088
151,Gigli,,
152,American Splendor,0305206,13417
153,Luther,,
154,The Station Agent,0340377,13001
155,Spellbound (2003),,
156,The Human Stain,0308383,13377
157,Grind,0338077,11016
158,Les Invasions Barbares,0338135,13669
159,From Justin to Kelly,0339034,11346
160,In the Cut,0199626,17077
161,Thirteen,,
162,The Magdalene Sisters,0318411,13605
163,Beyond Borders,0294357,14223
164,The Fog of War,0317910,10123
165,The Gospel of John,0377992,770674387
166,The Real Cancun,0360916,15787
167,Better Luck Tomorrow,,
168,The Secret Lives of Dentists,,
169,Step Into Liquid,0308508,10081
170,Laurel Canyon,,
171,The Good Thief,0281820,15478
172,The Barbarian Invasions,0338135,13669
173,Anything Else,0313792,14292
174,Mambo Italiano,0330602,14090
175,Capturing the Friedmans,,
176,The Guru,,
177,Mambo Italiano (Canada),0330602,14090
178,Santa Vs. the Snowman - Season 2 (IMAX),,
179,L'Auberge Espagnole,,
180,Monsieur Ibrahim,0329388,13741
181,My Architect,0373175,18164
182,Man on the Train,0301414,15361
183,Pieces of April,0311648,10646
185,The Dancer Upstairs,,
186,The Company,0335013,13468
187,DysFunKtional Family,0337996,14436
188,Shattered Glass,0323944,10701
189,Raising Victor Vargas,0316188,15238
190,Sur le Seuil,,
191,Nez Rouge,0380585,647785128
192,The Two Towers (Re-issue),,
193,Kal Ho Naa Ho,0347304,17429
194,Alien: The Director's Cut,,771306800
195,The Legend of Johnny Lingo,0367960,9900
196,Book of Mormon Movie,0349159,770987826
197,Marci X,0266747,15498
198,Camp,0342167,10614
199,Veronica Guerin,0312549,13957
200,Northfork,0322659,11493
