rank,movie_title,imdbid,rtid
1,The Dark Knight,0468569,769959054
2,Iron Man,0371746,714976247
3,Indiana Jones and the Kingdom of the Crystal Skull,0367882,769964099
4,Hancock,0448157,770679092
5,WALL-E,,
6,Kung Fu Panda,,
7,Twilight,,
8,Madagascar: Escape 2 Africa,0479952,770680575
9,Quantum of Solace,0830515,770679948
10,Dr. Seuss' Horton Hears a Who!,0451079,770669822
11,Sex and the City,,
12,Gran Torino,1205489,770785728
13,Mamma Mia!,0795421,770680865
14,Marley and Me,,
15,The Chronicles of Narnia: Prince Caspian,0499448,680139028
16,Slumdog Millionaire,1010048,770770017
17,The Incredible Hulk,0800080,770671942
18,Wanted,0493464,770675607
19,Get Smart,,
20,The Curious Case of Benjamin Button,0421715,770669386
21,Four Christmases,0369436,770683011
22,Bolt,0397892,770681835
23,Tropic Thunder,0942385,770681826
24,Bedtime Stories,0960731,770680576
25,The Mummy: Tomb of the Dragon Emperor,0859163,770671522
26,Journey to the Center of the Earth,,
27,Eagle Eye,1059786,770675744
28,Step Brothers,,
29,You Don't Mess with the Zohan,0960144,770671938
30,Yes Man,1068680,770682011
31,"10,000 B.C.",,
32,Beverly Hills Chihuahua,1014775,770767902
33,High School Musical 3: Senior Year,0962726,770676333
34,Pineapple Express,,770671939
35,Valkyrie,,
36,21,0478087,770676801
37,What Happens in Vegas,1033643,770682015
38,Jumper,,
39,Cloverfield,1060277,770673272
40,The Day the Earth Stood Still (2008),0970416,770675291
41,27 Dresses,0988595,770669912
42,Hellboy II: The Golden Army,0411477,770673038
43,Vantage Point,0443274,770671130
44,The Spiderwick Chronicles,0416236,770669821
45,Fool's Gold,0770752,770679952
46,Seven Pounds,0814314,770767898
47,Role Models,0430922,770784369
48,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,1127884,770677196
49,The Happening,0949731,770675257
50,Forgetting Sarah Marshall,,
51,Baby Mama,0871426,770681823
52,Burn After Reading,0887883,770671944
53,Step Up 2 the Streets,1023481,770681509
54,Saw V,1132626,770680256
55,The Strangers,,
56,The Forbidden Kingdom,0865556,770679747
57,The Tale of Despereaux,0420238,770682016
58,Australia,0455824,770671914
59,The House Bunny,0852713,770681327
60,Nim's Island,0410377,770681507
61,Made of Honor,0866439,770681506
62,College Road Trip,0997047,770680564
63,The Sisterhood of the Traveling Pants 2,1018785,770674775
64,Speed Racer,0811080,770669719
65,Prom Night (2008),,
66,Rambo,0462499,770670295
67,Welcome Home Roscoe Jenkins,0494652,770681668
68,Tyler Perry's Meet the Browns,,
69,Nights in Rodanthe,0956038,770682010
70,Max Payne,0467197,770706171
71,Righteous Kill,1034331,770672980
72,Body of Lies,0758774,770681151
73,Lakeview Terrace,0947802,770681829
74,Meet the Spartans,1073498,770680135
75,Harold and Kumar Escape from Guantanamo Bay,,
76,First Sunday,,770680966
77,The Secret Life of Bees,0416212,770680796
78,Tyler Perry's The Family That Preys,,
79,Death Race,,
80,Changeling,0824747,770677185
81,Star Wars: The Clone Wars,1185834,770683913
82,The Reader,0976051,770684517
83,Semi-Pro,0839980,770674955
84,Fireproof,1129423,770682099
85,Doubt,0918927,770771570
86,Drillbit Taylor,0817538,770674040
87,"Definitely, Maybe",0832266,770674772
88,The Love Guru,0811138,770681508
89,Milk,1013753,770684396
90,Transporter 3,1129442,770734596
91,Quarantine,1082868,770684110
92,Nick and Norah's Infinite Playlist,0981227,770682422
93,Zack and Miri Make a Porno,1007028,770771542
94,The Eye,0406759,712377385
95,Leatherheads,0379865,770674041
96,Mirrors,0790686,770740067
97,Space Chimps,0482603,770729335
98,The Bank Job,0200465,770681706
99,Untraceable,0880578,770671782
100,Defiance,1034303,770682436
101,The Women (2008),,
102,One Missed Call,,
103,The Other Boleyn Girl,0467200,770672985
104,Street Kings,,
105,The Wrestler,1125849,770680582
106,Shutter,,
107,Superhero Movie,0426592,770684073
108,W.,0493464,770675607
109,Never Back Down,1023111,770681995
110,Traitor,0988047,770767468
111,Vicky Cristina Barcelona,0497465,770680718
112,Revolutionary Road,0959337,770674037
113,Babylon A.D.,0364970,546952172
114,The X-Files: I Want to Believe,0443701,770678072
115,Mad Money,0951216,770680353
116,Appaloosa,0800308,770684024
117,The Spirit,,
118,Igor,0465502,770679064
119,My Best Friend's Girl,1046163,770681830
120,Frost/Nixon,0870111,770682018
121,Kit Kittredge: An American Girl,0846308,770674256
122,The Ruins,0963794,770680566
123,88 Minutes,,
124,Swing Vote,1027862,770682012
125,Pride &amp; Glory,0482572,770669554
126,Bangkok Dangerous,0814022,770681773
127,Last Chance Harvey,1046947,770784001
128,Disaster Movie,1213644,770768860
129,The Duchess,0864761,770680512
130,Fly Me to the Moon,0486321,770681189
131,The Haunting of Molly Hartley,1045655,770785664
132,Ghost Town,0995039,770681647
133,Religulous,0815241,770676002
134,The Pirates Who Don't Do Anything,,
135,Rachel Getting Married,1084950,770784042
136,Under the Same Moon,0796307,528367173
137,Miss Pettigrew Lives for a Day,,
138,Soul Men,1111948,770681832
139,Meet Dave,0765476,770728557
140,The Longshots,1091751,770771598
141,"Be Kind, Rewind",0799934,770670660
142,Doomsday,0483607,770673000
143,Stop-Loss,0489281,770671517
144,U2 3D,,771015743
145,Penelope,,
146,The Express,0469903,770675021
147,Smart People,0858479,770675117
148,The Visitor,0857191,770679048
149,The Boy in the Striped Pajamas,0914798,770771479
150,Sex Drive,1135985,770680691
151,Cadillac Records,1042877,770796579
152,Punisher: War Zone,0450314,770676216
153,Miracle at St. Anna,1046997,770682014
154,City of Ember,0970411,770681833
155,In Bruges,0780536,770679093
156,Expelled: No Intelligence Allowed,1091617,770683671
157,Dolphins and Whales: Tribes of the Ocean 3D,0996382,770683731
158,Over Her Dead Body,0785007,770678536
159,Nothing Like the Holidays,1151915,770780326
160,How She Move,,
161,An American Carol,1190617,770789096
162,Strange Wilderness,0489282,770671518
163,Brideshead Revisited,0412536,770682219
164,The Rocker,1031969,770682858
165,Tell No One,,
166,Run Fat Boy Run,0425413,770670572
167,Mongol,0416044,770677229
168,RockNRolla,1032755,770681350
169,Shine a Light,0893382,770671519
170,The Counterfeiters,,
171,Hamlet 2,1104733,770684397
172,In the Name of the King: A Dungeon Siege Tale,0460780,770670801
173,College,,
174,Deception (2008),,
175,Flash of Genius,1054588,770682019
176,Witless Protection,1001562,770679225
177,Bottle Shock,,
178,Young@Heart,1047007,770681101
179,Charlie Bartlett,,
181,Then She Found Me,,
182,Elegy,0974554,770686863
183,Happy-Go-Lucky,1045670,770685591
184,Jodhaa Akbar,,
185,Blindness,0861689,770672765
186,I've Loved You So Long,1068649,770682701
187,"Synecdoche, New York",0383028,770682711
188,The Band's Visit,,
189,Man on Wire,1155592,770682536
190,Choke,1024715,770682478
191,How to Lose Friends and Alienate People,,
192,Frozen River,0978759,770682503
193,Ghajini,1166100,770800352
194,Redbelt,1012804,770671943
195,Waltz with Bashir,1185616,770770030
196,The Fall,,
197,Transsiberian,0800241,770679862
198,Priceless,1027729,770677421
199,Singh Is Kinng,,770784003
200,Let the Right One In (2008),1139797,770687125
