rank,movie_title,imdbid,rtid
1,Toy Story 3,0435761,770672122
2,Alice in Wonderland (2010),,
3,Iron Man 2,1228705,770800493
4,The Twilight Saga: Eclipse,1325004,770805388
5,Harry Potter and the Deathly Hallows Part 1,0926084,770672991
6,Inception,1375666,770805418
7,Despicable Me,1323594,770805190
8,Shrek Forever After,0892791,770810590
9,How to Train Your Dragon,,
10,Tangled,0398286,770678818
11,The Karate Kid,1155076,770813677
12,Tron Legacy,1104001,770785471
13,True Grit,1403865,770860165
14,Clash of the Titans (2010),0800320,770805266
15,Grown Ups,1375670,770809280
16,Little Fockers,0970866,770685374
17,Megamind,,
18,The King's Speech,1504320,770816664
19,The Last Airbender,0938283,770805417
20,Shutter Island,1130884,770681152
21,The Other Guys,1386588,770816171
22,Salt,,
23,Jackass 3-D,1116184,770802613
24,Valentine's Day,0817230,770805766
25,Black Swan,0947798,770738135
26,Robin Hood,,
27,The Chronicles of Narnia: The Voyage of the Dawn Treader,0980970,770671153
28,The Expendables,1320253,770802244
29,Due Date,1231583,770814359
30,Yogi Bear,1302067,770858010
31,Date Night,1279935,770808107
32,The Social Network,1285016,770857927
33,Sex and the City 2,1261945,770805765
34,The Book of Eli,1037705,770804147
35,The Fighter,,
36,The Town,0840361,770814363
37,Prince of Persia: The Sands of Time,0473075,770671910
38,Red,1245526,770860164
39,Percy Jackson &amp; The Olympians: The Lightning Thief,0814255,770805263
40,Paranormal Activity 2,,
41,Unstoppable,0477080,770814364
42,Eat Pray Love,0879870,770857925
43,Dear John,0989757,770795974
44,The A-Team,0429493,770681977
45,Knight &amp; Day,1013743,770820013
46,Dinner for Schmucks,0427152,770807431
47,The Tourist,,
48,The Bounty Hunter,1038919,770856804
49,Diary of a Wimpy Kid,1196141,770808106
50,The Sorcerer's Apprentice,0963966,770796548
51,A Nightmare on Elm Street (2010),1179056,770785488
52,The Last Song,1294226,770808365
53,The Wolfman,0780653,770768653
54,Get Him to the Greek,1226229,770810640
55,Resident Evil: Afterlife,1220634,770816172
56,Tyler Perry's Why Did I Get Married Too?,,
57,Tooth Fairy,0808510,770794511
58,Secretariat,1028576,770819741
59,Easy A,1282140,770813310
60,Takers,1135084,770803979
61,Legend of the Guardians: The Owls of Ga'Hoole,1219342,770866920
62,Life as We Know It,1055292,770858011
63,Letters to Juliet,0892318,770814003
64,Wall Street: Money Never Sleeps,1027718,770814365
65,Predators,1424381,770817667
66,Hot Tub Time Machine,1231587,770813651
67,Kick-Ass,,
68,Killers,1103153,770809889
69,Saw 3D,,
70,Cop Out,1385867,770805261
71,Cats &amp; Dogs: The Revenge of Kitty Galore,1287468,770805223
72,Edge of Darkness,,
73,Gulliver's Travels,1320261,770808129
74,Death at a Funeral (2010),1321509,770805752
75,Step Up 3-D,1193631,770733841
76,The Last Exorcism,1320244,770874813
77,Hubble 3D,1433813,770860109
78,Legion (2010),1038686,770784236
79,Burlesque,,
80,The Crazies,0455407,770805222
81,For Colored Girls,1405500,770860166
82,The Back-Up Plan,1212436,770805262
83,Vampires Suck,1666186,771201458
84,The American,1440728,771202361
85,Green Zone,0947810,770783634
86,Marmaduke,1392197,770814362
87,Devil,,771203480
88,Hereafter,1212419,770863872
89,When in Rome,1185416,770801761
90,Love and Other Drugs,0758752,770856056
91,She's Out of My League,0815236,770682073
92,Scott Pilgrim vs. the World,0446029,770782775
93,Charlie St. Cloud,1438254,770859139
94,Morning Glory,1126618,770808366
95,How Do You Know,1341188,771201460
96,Daybreakers,,
97,Nanny McPhee Returns,1415283,771041878
98,The Switch,0889573,770810632
99,Brooklyn's Finest,,
100,Machete,,
101,Ramona and Beezus,0493949,770805265
102,Leap Year,1216492,770816444
103,You Again,1414382,770818804
104,Alpha and Omega,1213012,770789904
105,Piranha 3D,,
106,Lottery Ticket,0979434,770863869
107,The Spy Next Door,1273678,770807290
108,From Paris with Love,1179034,770801768
109,The Losers,0480255,770818088
110,Faster,1433108,770816173
111,Just Wright,1407061,770866453
112,Skyline,1564585,771203481
113,The Next Three Days,1458175,770873457
114,The Kids Are All Right,0842926,770819676
115,Our Family Wedding,1305583,770816443
116,Country Strong,1555064,771203530
117,Oceans,,
118,Remember Me,1403981,770814773
119,127 Hours,1542344,771028554
120,Going the Distance,1322312,770808364
121,Furry Vengeance,1365053,770809279
122,Splice,1017460,770682093
123,The Ghost Writer,1139328,770810665
124,Youth in Revolt,0403702,770782193
125,My Soul to Take,0872230,770874914
126,Repo Men,1053424,770740143
127,Case 39,0795351,770680570
128,Let Me In,1228987,770805260
129,Extraordinary Measures,1244659,770818424
130,Avatar: Special Edition,,
131,Jonah Hex,,
132,The Girl with the Dragon Tattoo,,
133,Blue Valentine,1120985,770728350
134,Fair Game (2010),0977855,770809925
135,Get Low,1194263,770808815
136,MacGruber,1470023,770814361
137,The Girl Who Played with Fire,,
138,Cyrus,,
139,Babies,,
140,Conviction,1244754,771201459
141,City Island,,
142,The Last Station,,
143,Winter's Bone,1399683,770856649
144,Waiting for &quot;Superman&quot;,,
145,The Secret in Their Eyes,,
146,It's Kind of a Funny Story,0804497,770855394
148,The Warrior's Way,1032751,770808479
149,The Girl Who Kicked the Hornet's Nest,,
150,I Am Love,,
151,Mao's Last Dancer,1071812,770807574
152,Solitary Man,,
153,Inside Job,1645089,771200415
154,Greenberg,1234654,770805910
155,Please Give,0878835,770856682
156,My Name is Khan,1188996,770812767
157,To Save a Life,1270286,770806389
158,The Runaways,1017451,770856398
159,Exit Through the Gift Shop,1587707,770860526
160,You Will Meet a Tall Dark Stranger,1182350,770874814
161,Catfish,1584016,770856706
162,Another Year,1431181,771042121
163,Chloe,1352824,770813273
164,Joan Rivers: A Piece of Work,1568150,770859300
165,Letters to God,,
166,N'Secure,1289419,771210941
167,Never Let Me Go,1334260,771087228
169,The Illusionist (2010),,
170,Rabbit Hole,0935075,770810954
171,A Prophet (Un prophete),,
172,"I Love You, Phillip Morris",,
173,Harry Brown,,
174,Stone,1423995,770871631
175,Somewhere,1421051,770813470
176,Flipped,0817177,770683156
177,Kites,1198101,770873765
178,Coco Chanel &amp; Igor Stravinsky,,
179,Cairo Time,,
180,Raajneeti,1291465,770814698
181,The Joneses,1285309,770815795
182,Nowhere Boy,1266029,770817089
183,Restrepo,1559549,770856680
184,Dabangg,1620719,771208290
185,Micmacs,,
186,Housefull,,
187,Golmaal 3,1562859,771210500
188,Mother and Child,1121977,770799466
189,Made in Dagenham,1371155,771041046
190,Tees Maar Khan,1572311,771220734
191,La Mission,,
192,Buried,1462758,770819772
193,Animal Kingdom,1313092,770818882
194,Casino Jack,,
195,The Perfect Game,,
196,2010 Oscar Shorts,,770863928
197,Guzaarish,1438298,771217962
199,The Wildest Dream,,
200,Princess Kaiulani,,
