rank,movie_title,imdbid,rtid
74,Bridget Jones: The Edge of Reason,0317198,12941
75,Catwoman,0327554,10994
76,The Ladykillers,0335245,14905
77,Sky Captain and the World of Tomorrow,0346156,10053
78,Raising Helen,0350028,10901
79,Taxi,0316732,104878212
80,Eternal Sunshine of the Spotless Mind,0338013,12860
81,Alexander,,
82,Closer,,
83,The Punisher,0330793,13155
84,Team America: World Police,0372588,16974
85,Taking Lives,0364045,17141
86,Anacondas: The Hunt for the Blood Orchid,0366174,11072
87,Cellular,0337921,12750
88,Johnson Family Vacation,0359517,11453
89,Open Water,,
90,Confessions of a Teenage Drama Queen,0361467,10634
91,After the Sunset,0367479,12597
92,The Prince and Me,0337697,10651
93,Garden State,,
94,Jersey Girl,0300051,10653
95,Twisted,0315297,14784
96,The Life Aquatic with Steve Zissou,,12895
97,Around the World in 80 Days,0327437,11425
98,Agent Cody Banks 2: Destination London,0358349,11224
99,Hotel Rwanda,0395169,12856
100,Ella Enchanted,0327679,10457
101,The Alamo (2004),,10956
102,Darkness,0273517,17278
103,Mr. 3000,,
104,NASCAR 3D: The IMAX Experience (IMAX),0353774,653489961
105,Torque,0329691,20512
106,Flight of the Phoenix,0377062,10403
107,Little Black Book,0361841,11157
108,Yu-Gi-Oh! The Movie,0403703,10953
109,Two Brothers,0338512,11148
110,Harold and Kumar Go to White Castle,,
111,Laws of Attraction,0323033,11217
112,Eurotrip,,17316
113,My Baby's Daddy,,
114,Seed of Chucky,0387575,13571
115,Win a Date with Tad Hamilton!,0335559,11098
116,Wimbledon,,
117,The Motorcycle Diaries,,
118,Catch That Kid,0337917,11722
119,The Whole Ten Yards,0327247,11427
120,Vanity Fair,0241025,10793
121,Paparazzi,0338325,11248
122,The Girl Next Door,0265208,14679
123,Welcome to Mooseport,0361925,11794
124,Godsend,0335121,11731
125,Soul Plane,0367085,17180
126,Dirty Dancing: Havana Nights,0338096,10470
127,New York Minute,0363282,11558
128,Envy,0326856,11507
129,Shaun of the Dead,0365748,12873
130,De-Lovely,0352277,10364
131,Alfie,0375173,13506
132,Wicker Park,0324554,10756
133,I Heart Huckabees,0356721,12944
134,Breakin' All the Rules,0349169,11052
135,Chasing Liberty,,11153
136,The Cookout,0380277,11971
137,Surviving Christmas,0252028,10805
138,Super Size Me,,
139,House of Flying Daggers,0385004,10034
140,What the #$*! Do We Know?!,,
141,Raise Your Voice,0361696,10362
142,The Perfect Score,0314498,11692
143,Kinsey,0362269,13114
144,Sleepover,,
145,Super Babies: Baby Geniuses 2,,
146,First Daughter,0361620,10382
147,Saved!,,
148,Suspect Zero,0324127,14189
149,Connie and Carla,0345074,11082
150,Being Julia,0340012,13316
151,Thunderbirds,0167456,11322
152,"Woman, Thou Art Loosed",0399901,13202
153,Maria Full of Grace,,
154,A Very Long Engagement,0344510,12884
155,Teacher's Pet,,
156,The Big Bounce,0315824,11662
157,Beyond the Sea,0363473,10150
158,Against the Ropes,0312329,12238
159,Before Sunset,0381681,12908
160,The Clearing,0331952,14327
161,Never Die Alone,0354766,14896
162,Bad Education,0275491,12880
163,Birth,,
164,Club Dread,,
165,Touching the Void,,
166,Spartan,0360009,13523
167,A Day Without a Mexican,0377744,13260
168,"Good Bye, Lenin!",0301357,13051
170,The Door in the Floor,0348593,13078
171,Benji Off the Leash,0315273,11962
172,Vera Drake,0383694,13531
173,William Shakespeare's The Merchant of Venice,0379889,12888
174,Born Into Brothels,,
175,The Work and the Glory,0410454,12700
176,Veer Zaara,0420332,17434
177,Clifford's Really Big Movie,0398872,9565
178,Bobby Jones: Stroke of Genius,,
179,Therese: The Story of Saint Therese of Lisieux,,
180,Control Room,,
181,The Dreamers,,
182,"Spring, Summer, Fall, Winter... and Spring",,
183,Bon Voyage,,
184,Riding Giants,0389326,10108
186,Coffee and Cigarettes,,
187,Intimate Strangers,0363532,13783
188,The Sea Inside,0369702,10243
190,We Don't Live Here Anymore,0361309,13726
192,The Corporation,,
194,Elvis Gratton XXX,,
195,The Story of the Weeping Camel,,
196,The Blue Butterfly,0313300,348502952
197,Main Hoon Na,0347473,9760
198,I'm Not Scared,,
199,The Corporation (Canada),,
200,Nouvelle-France,,771251379
