rank,movie_title,imdbid,rtid
1,Shrek 2,,
2,Spider-Man 2,,
3,The Passion of the Christ,,
4,Meet the Fockers,0290002,10041
5,The Incredibles,,10011
6,Harry Potter and the Prisoner of Azkaban,0304141,10014
7,The Day After Tomorrow,0319262,10154
8,The Bourne Supremacy,0372183,10084
9,National Treasure,0368891,10016
10,The Polar Express,,
11,Shark Tale,0307453,10079
12,"I, Robot",,
13,Troy,,
14,Ocean's Twelve,0349903,10049
15,50 First Dates,0343660,10192
16,Van Helsing,,
17,Fahrenheit 9/11,0361596,12893
18,Lemony Snicket's A Series of Unfortunate Events,0339291,10045
19,DodgeBall: A True Underdog Story,0364725,16981
20,The Village,0368447,10191
21,The Grudge,0391198,17083
22,The Aviator,,
23,Collateral,,
24,Million Dollar Baby,0405159,10026
25,The Princess Diaries 2: Royal Engagement,0368933,9454
26,Starsky and Hutch,,
27,Along Came Polly,0343135,10982
28,Mean Girls,,
29,The SpongeBob SquarePants Movie,0345950,10467
30,Anchorman: The Legend of Ron Burgundy,0357413,16978
31,Scooby-Doo 2: Monsters Unleashed,0331632,10865
32,The Notebook,,10015
33,Alien Vs. Predator,0370263,10111
34,Man on Fire,0328107,12876
35,The Terminal,0362227,11664
36,Garfield: The Movie,0356634,10175
37,Ray,0350258,12784
38,Ladder 49,,10374
39,Christmas with the Kranks,0388419,10018
40,Sideways,0375063,12851
41,White Chicks,0381707,17071
42,Hidalgo,,
43,The Forgotten,,
44,Kill Bill Vol. 2,0378194,12862
45,The Manchurian Candidate,0368008,14500
46,Barbershop 2: Back in Business,0337579,10839
47,Miracle,0419967,519435803
48,Friday Night Lights,0390022,10213
49,Hellboy,0167190,10494
50,The Stepford Wives,0327162,10977
51,Dawn of the Dead,,
52,Without a Paddle,0364751,10946
53,The Butterfly Effect,0289879,12979
54,Shall We Dance,0358135,10228
55,The Chronicles of Riddick,,
56,13 Going on 30,0337563,12112
57,Saw,0387564,16980
58,Hero,,
59,Blade: Trinity,0359013,17000
60,King Arthur,,
61,Finding Neverland,0308644,10033
62,A Cinderella Story,0356470,10321
63,The Phantom of the Opera,,
64,Resident Evil: Apocalypse,0318627,13013
65,Home on the Range,0299172,10744
66,Fat Albert,,
67,Secret Window,0363988,10587
68,Walking Tall,0351977,10644
69,In Good Company,0385267,10562
70,Napoleon Dynamite,0374900,10007
71,Spanglish,0371246,10163
72,Exorcist: The Beginning,0204313,13326
73,You Got Served,,
