rank,movie_title,imdbid,rtid
1,Spider-Man 3,0413300,358167972
2,Shrek the Third,0413267,387253026
3,Transformers,,358177192
4,Pirates of the Caribbean: At World's End,0449088,358174817
5,Harry Potter and the Order of the Phoenix,0373889,387569635
6,I Am Legend,0480249,770669778
7,The Bourne Ultimatum,0440963,358189806
8,National Treasure: Book of Secrets,0465234,632295045
9,Alvin and the Chipmunks,0952640,770673145
10,300,0416449,344023668
11,Ratatouille,0382932,470554171
12,The Simpsons Movie,0462538,406923403
13,Wild Hogs,0486946,450816743
14,Knocked Up,,460328477
15,Juno,0467406,770675878
16,Rush Hour 3,0293564,571326804
17,Live Free or Die Hard,0337978,494020502
18,Fantastic Four: Rise of the Silver Surfer,0486576,364517593
19,American Gangster,,
20,Enchanted,0461770,770670631
21,Bee Movie,0389790,390896977
22,Superbad,,
23,I Now Pronounce You Chuck and Larry,0762107,460334389
24,Hairspray (2007),0427327,460339382
25,Blades of Glory,0445934,512880935
26,Ocean's Thirteen,0496806,462983441
27,Ghost Rider,0259324,364555500
28,Evan Almighty,0413099,398745185
29,Meet the Robinsons,0396555,387261632
30,Norbit,0477051,364557026
31,The Bucket List,0825232,770677066
32,The Game Plan,0492956,770670293
33,Beowulf,,
34,Bridge to Terabithia,0398808,387371589
35,Disturbia,0486822,554237964
36,No Country for Old Men,0477348,770669872
37,Fred Claus,0486583,650942914
38,1408,0450385,512890937
39,The Golden Compass,,
40,Charlie Wilson's War,,
41,Saw IV,0890870,577164571
42,Stomp the Yard,0775539,450789491
43,Surf's Up,0423294,414930158
44,Halloween (2007),0373883,586908241
45,Tyler Perry's Why Did I Get Married?,,
46,TMNT,0453556,387555583
47,P.S. I Love You,,559742469
48,3:10 to Yuma (2007),0381849,684288203
49,Sweeney Todd: The Demon Barber of Fleet Street,0408236,770672301
50,Atonement,0783233,594229511
51,Resident Evil: Extinction,0432021,512912460
52,Music and Lyrics,0758766,387364512
53,Are We Done Yet?,0422774,462989368
54,This Christmas,,
55,Michael Clayton,0465538,770671488
56,Premonition,0477071,371353718
57,Dan in Real Life,0480242,770674525
58,The Kingdom,0431197,462995625
59,Shooter,0822854,462977108
60,License to Wed,0762114,625475402
61,Underdog,0467110,484572121
62,No Reservations,0481141,684532133
63,Because I Said So,0490084,387354859
64,Aliens Vs. Predator - Requiem,0758730,769772568
65,The Water Horse: Legend of the Deep,,770671492
66,There Will Be Blood,0469494,770671487
67,Epic Movie,0799949,425849224
68,Hitman,,770671900
69,30 Days of Night,0389722,512923951
70,Fracture,,
71,Stardust,0486655,392799904
72,The Brave One,0476964,770670843
73,The Heartbreak Kid,0408839,770670844
74,Freedom Writers,0463998,414820730
75,Smokin' Aces,0475394,387399996
76,The Messengers,0425430,472231908
77,The Number 23,0481369,387392215
78,Good Luck Chuck,0452625,528347193
79,Mr. Bean's Holiday,0453451,586938058
80,Breach,,
81,Zodiac,,
82,Balls of Fury,0424823,401334192
83,Mr. Magorium's Wonder Emporium,0457419,594225106
84,August Rush,0426931,770413356
85,Tyler Perry's Daddy's Little Girls,,
86,The Great Debaters,,770679318
87,28 Weeks Later,0463854,660304807
88,We Own the Night,0498399,770670992
89,Mr. Brooks,0780571,577183017
90,Hannibal Rising,0367959,463044103
91,The Nanny Diaries,,630695026
92,Mr. Woodcock,0419984,406975478
93,Nancy Drew,0479500,475364640
