rank,movie_title,imdbid,rtid,studio,total_gross,num_theaters_total,opening_revenue,num_theaters_opening,date_open,date_close
73,Rugrats Go Wild,0337711,11516,Par.,39402572,3041,11556869,3041,6/13,9/25
74,Head of State,0325537,11970,DW,38125247,2256,13503484,2151,3/28,7/17
75,Good Boy!,,,MGM,37667746,3225,13107022,3225,10/10,1/15
76,Uptown Girls,0263757,10731,MGM,37182494,2495,11277367,2495,8/15,11/20
77,Matchstick Men,0325805,11033,WB,36906460,2711,13087307,2711,9/12,12/4
78,National Security,0271668,11699,Sony,36381186,2729,14369694,2729,1/17,5/22
79,What a Girl Wants,0286788,10968,WB,36105433,2964,11434964,2964,4/4,7/3
80,Jeepers Creepers 2,0301470,13400,UA,35667218,3124,15269324,3124,8/29,1/2
81,Intolerable Cruelty,0138524,11037,Uni.,35327628,2570,12525075,2564,10/10,1/11
82,Cradle 2 the Grave,0306685,15988,WB,34712347,2625,16521468,2625,2/28,5/15
83,Monster,,,NM,34469210,1093,86831,4,12/24,6/3
84,Malibu's Most Wanted,0328099,11677,WB,34432201,2503,12618159,2503,4/18,7/27
85,The Hunted,0269347,13646,Par.,34244097,2517,13482638,2516,3/14,5/29
86,Stuck on You,,11397,Fox,33832741,3007,9411055,3003,12/12,3/18
87,Dreamcatcher,0285531,13790,WB,33715436,2945,15027423,2945,3/21,5/29
88,Darkness Falls,0282209,11813,SonR,32551396,2865,12024917,2837,1/24,5/15
89,Bend It Like Beckham,0286499,10320,FoxS,32543449,1002,161528,6,3/12,10/23
90,The Core,,,Par.,31186896,3019,12053131,3017,3/28,7/10
91,Calendar Girls,0337909,10412,BV,31041759,967,151393,24,12/19,4/15
92,Hollywood Homicide,0329717,11379,SonR,30940691,2840,11112632,2840,6/13,10/2
93,Honey,0322589,10829,Uni.,30308417,1972,12856040,1942,12/5,2/26
94,The Fighting Temptations,0191133,11104,Par.,30250745,2026,11758372,2026,9/19,12/25
95,Johnny English,0274166,11064,Uni.,28082366,2236,9134085,2236,7/18,9/25
96,The Missing,,,SonR,27011180,2756,10833633,2756,11/26,2/16
97,Basic,,,Sony,26793311,2876,11511960,2876,3/28,5/15
98,A Man Apart,,,NL,26736098,2495,11019224,2459,4/4,7/10
99,Sinbad: Legend of the Seven Seas,0165982,10918,DW,26483452,3086,6874477,3086,7/2,10/9
100,Dumb and Dumberer: When Harry Met Lloyd,0329028,11624,NL,26276465,2609,10845064,2609,6/13,8/21
101,Bulletproof Monk,0245803,11258,MGM,23358708,2955,8653542,2955,4/16,7/31
102,Piglet's Big Movie,0323642,9563,BV,23103423,2084,6097758,2084,3/21,5/29
103,Dickie Roberts: Former Child Star,0325258,11727,Par.,22738671,2083,6660540,2026,9/5,11/27
104,The Medallion,0288045,11888,TriS,22219192,2652,8111324,2648,8/22,11/13
105,Biker Boyz,0326769,11920,DW,22076772,1769,10106992,1766,1/31,6/19
106,Love Don't Cost a Thing,0337592,11693,WB,21924226,1844,6315311,1844,12/12,3/11
107,Cold Creek Manor,0331468,14962,BV,21386011,2035,8190574,2035,9/19,12/4
108,Cabin Fever,,,Lions,21158188,2105,8633585,2087,9/12,12/4
109,Looney Tunes: Back in Action,0318155,11525,WB,20991364,2903,9317371,2903,11/14,2/1
110,Whale Rider,0298228,10105,NM,20779666,556,137418,9,6/6,11/27
111,The In-Laws,0314786,12128,WB,20453431,2652,7319848,2652,5/23,7/31
112,Down with Love,,11057,Fox,20305251,2123,45029,1,5/9,7/31
113,The Life of David Gale,0289992,13604,Uni.,19955598,2003,7117225,2002,2/21,5/8
114,Timeline,0300556,10365,Par.,19481943,2787,8440629,2787,11/26,2/19
115,Bugs! (IMAX),,,SK,19063544,33,67962,32,3/12,8/19
116,A Mighty Wind,0310281,10423,WB,17781006,770,2112140,133,4/16,8/28
117,Deliver Us from Eva,0301181,14773,Focus,17573594,1139,6648374,1139,2/7,5/18
118,Ghosts of the Abyss (IMAX &amp; 35mm),0297144,11053,BV,17040871,97,1408474,97,4/11,10/13
119,21 Grams,0315733,13178,Focus,16290476,411,274454,8,11/21,4/15
120,View from the Top,,,Mira.,15614000,2508,7009513,2508,3/21,5/18
121,My Boss's Daughter,0270980,14918,Dim.,15550605,2206,4855798,2201,8/22,11/13
122,A Guy Thing,,,MGM,15545431,2520,6988749,2515,1/17,4/10
123,In America,0298845,10475,FoxS,15539656,403,205229,11,11/26,6/10
124,Wrong Turn,0295700,13811,Fox,15418790,1615,5161498,1615,5/30,9/25
125,Alex and Emma,,,WB,14218698,2310,6111074,2310,6/20,8/14
126,How to Deal,0319524,11276,NL,14195227,2319,5809960,2319,7/18,8/21
127,House of Sand and Fog,0315983,13352,DW,13040288,598,45572,2,12/19,4/15
128,Gods and Generals,,,WB,12882934,1533,4675246,1533,2/21,5/4
129,"House of 1,000 Corpses",,,Lions,12634962,847,3460666,595,4/11,7/10
130,Confidence,0310910,14362,Lions,12251640,1871,4563588,1871,4/25,6/26
131,Girl with a Pearl Earring,0335119,10230,Lions,11670971,402,89472,7,12/12,5/9
132,Winged Migration,0301727,9628,SPC,10764402,202,33128,1,4/18,12/18
133,House of the Dead,0317676,14277,Art.,10249719,1540,5683280,1520,10/10,11/20
134,Swimming Pool,0324133,15321,Focus,10130108,259,287296,13,7/2,10/23
135,Duplex,0266489,11083,Mira.,9692135,2191,4617128,2189,9/26,12/25
136,La Grande Seduction,,,Ode.,9354342,80,895699,78,7/11,12/21
137,Dark Blue,0279331,14831,UA,9250301,2176,3880688,2176,2/21,5/1
138,Le Divorce,,,FoxS,9081057,701,516834,34,8/8,10/30
139,Boat Trip,0285462,17171,Art.,8600126,1803,3815075,1714,3/21,5/8
140,The Cooler,0318374,13608,Lions,8291572,408,128973,11,11/26,4/15
141,Dirty Pretty Things,0301199,13491,Mira.,8112414,493,100512,5,7/18,2/19
142,Tupac: Resurrection,0343121,14017,Par.,7718961,804,4632847,801,11/14,12/25
143,The Order,0304711,14441,Fox,7660806,1975,4438899,1975,9/5,10/30
144,City of God,,,Mira.,7564459,242,88292,5,1/17,6/24
145,It Runs in the Family,0311110,12087,MGM,7491839,1207,2804441,1207,4/25,7/17
146,The Triplets of Belleville,,10128,SPC,7007149,463,108080,6,11/26,7/8
147,Willard,0310357,11849,NL,6886089,1762,4010593,1761,3/14,5/8
148,The Young Black Stallion (IMAX),0318850,9647,BV,6751389,51,629999,51,12/25,9/5
149,Nowhere in Africa,,,Zeit.,6180200,78,22070,2,3/7,10/16
150,Chasing Papi,0323572,12088,Fox,6130049,585,2404557,585,4/16,6/5
151,Gigli,,,SonR,6087542,2215,3753518,2215,8/1,8/21
152,American Splendor,0305206,13417,FL,6010990,272,159705,6,8/15,12/4
153,Luther,,,RS,5791328,400,908446,400,9/26,12/18
154,The Station Agent,0340377,13001,Mira.,5739376,198,57785,3,10/3,4/4
155,Spellbound (2003),,,Think,5728581,117,17508,1,4/30,12/11
156,The Human Stain,0308383,13377,Mira.,5381908,388,1034195,160,10/31,2/5
157,Grind,0338077,11016,WB,5123696,2253,2511403,2253,8/15,9/18
158,Les Invasions Barbares,0338135,13669,All.,5109226,134,461363,134,5/9,10/23
159,From Justin to Kelly,0339034,11346,Fox,4928883,2001,2715848,2001,6/20,7/24
160,In the Cut,0199626,17077,SGem,4750602,825,97625,6,10/22,11/27
161,Thirteen,,,FoxS,4601043,243,116260,5,8/20,12/18
162,The Magdalene Sisters,0318411,13605,Mira.,4583889,295,84553,5,8/1,11/23
163,Beyond Borders,0294357,14223,Par.,4430101,1798,2076402,1798,10/24,11/27
164,The Fog of War,0317910,10123,SPC,4198566,261,41449,3,12/19,5/20
165,The Gospel of John,0377992,770674387,Think,4069090,113,98363,14,9/26,4/15
166,The Real Cancun,0360916,15787,NL,3825421,2261,2108796,2261,4/25,5/22
167,Better Luck Tomorrow,,,Par.,3802390,387,360772,13,4/11,6/26
168,The Secret Lives of Dentists,,,Manh,3707346,181,121769,12,8/1,1/1
169,Step Into Liquid,0308508,10081,Art.,3681803,91,135985,5,8/8,11/13
170,Laurel Canyon,,,SPC,3663356,121,149099,10,3/7,7/31
171,The Good Thief,0281820,15478,FoxS,3517797,222,131580,9,4/2,7/20
172,The Barbarian Invasions,0338135,13669,Mira.,3435749,139,79650,6,11/21,6/3
173,Anything Else,0313792,14292,DW,3212310,1033,1673125,1033,9/19,10/16
174,Mambo Italiano,0330602,14090,IDP,3205730,183,734570,178,9/19,12/18
175,Capturing the Friedmans,,,Magn.,3119113,78,65154,3,5/30,10/16
176,The Guru,,,Uni.,3095506,98,613485,62,1/31,5/8
177,Mambo Italiano (Canada),0330602,14090,Equin.,3047296,100,406651,99,6/6,-
178,Santa Vs. the Snowman - Season 2 (IMAX),,,Imax,3045032,46,14568,6,10/31,1/22
179,L'Auberge Espagnole,,,FoxS,2830361,100,59315,11,5/16,-
180,Monsieur Ibrahim,0329388,13741,SPC,2823890,92,53174,7,12/3,8/5
181,My Architect,0373175,18164,NYer,2750707,39,37929,2,11/12,8/5
182,Man on the Train,0301414,15361,ParC,2542020,85,41138,5,5/9,11/30
183,Pieces of April,0311648,10646,UA,2528664,101,48422,6,10/17,2/29
185,The Dancer Upstairs,,,FoxS,2377348,152,106142,13,5/2,8/21
186,The Company,0335013,13468,SPC,2283914,55,93776,11,12/25,5/13
187,DysFunKtional Family,0337996,14436,Mira.,2255000,602,1079797,602,4/4,5/18
188,Shattered Glass,0323944,10701,Lions,2220008,215,77540,8,10/31,1/29
189,Raising Victor Vargas,0316188,15238,IDP,2078661,69,33166,2,3/28,8/13
190,Sur le Seuil,,,Ode.,2014071,61,514762,61,10/3,-
191,Nez Rouge,0380585,647785128,Chri.,2004814,90,217000,32,11/28,1/19
192,The Two Towers (Re-issue),,,NL,1996877,126,727645,126,12/12,12/16
193,Kal Ho Naa Ho,0347304,17429,Yash,1991922,52,758211,52,11/26,2/12
194,Alien: The Director's Cut,,771306800,Fox,1986910,347,1023665,347,10/29,12/4
195,The Legend of Johnny Lingo,0367960,9900,Inn.,1690767,63,109868,63,8/29,1/29
196,Book of Mormon Movie,0349159,770987826,Mor.,1680020,38,114573,29,9/12,5/13
197,Marci X,0266747,15498,Par.,1648818,1200,872950,1200,8/22,9/18
198,Camp,0342167,10614,IFC,1629862,116,54294,3,7/25,10/16
199,Veronica Guerin,0312549,13957,BV,1571504,472,611276,472,10/17,12/4
200,Northfork,0322659,11493,ParC,1420578,71,61481,5,7/11,12/28
